"Смартфон Xiaomi Mi 11 Lite 5G NE, 6Gb, 128Gb, Truffle Black (2109119DG)",179990₸,Android,6.55,128 Гб,64 + 8 + 5,20,Xiaomi,Corning Gorilla Glass 5,Черный
"Смартфон Xiaomi Mi 11 Lite 5G NE, 8Gb, 128Gb, Bubblegum Blue (2109119DG)",189990₸,Android,6.55,128 Гб,64 + 8 + 5,20,Xiaomi,Corning Gorilla Glass 5,"Синий, Черный"
"Смартфон Samsung Galaxy Z Flip3 5G, 128Gb, Phantom Black (SM-F711B)",516900₸,Android,6.7,128 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,Черный
"Смартфон Xiaomi Mi 11 Lite 5G NE, 8Gb, 256Gb, Truffle Black (2109119DG)",209990₸,Android,6.55,256 Гб,64 + 8 + 5,20,Xiaomi,Corning Gorilla Glass 5,Черный
"Смартфон Xiaomi Mi 11 Lite 5G NE, 8Gb, 128Gb, Truffle Black (2109119DG)",189990₸,Android,6.55,128 Гб,64 + 8 + 5,20,Xiaomi,Corning Gorilla Glass 5,Черный
"Смартфон Samsung Galaxy Z Flip3 5G, 256Gb, Lavender (SM-F711B)",545100₸,Android,6.7,256 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Фиолетовый, Черный"
"Смартфон Samsung Galaxy Z Fold3 5G, 256Gb, Phantom Silver (SM-F926B)",845900₸,Android,6.2,256 Гб,12 + 12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Серебристый, Черный"
"Смартфон Samsung Galaxy Z Fold3 5G, 512Gb, Phantom Silver (SM-F926B)",939900₸,Android,6.2,512 Гб,12 + 12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Серебристый, Черный"
"Смартфон Samsung Galaxy Z Fold3 5G, 512Gb, Phantom Black (SM-F926B)",939900₸,Android,6.2,512 Гб,12 + 12 + 12,10,Samsung,Corning Gorilla Glass Victus,Черный
"Смартфон Samsung Galaxy Z Flip3 5G, 128Gb, Lavender (SM-F711B)",516900₸,Android,6.7,128 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Фиолетовый, Черный"
"Смартфон Infinix HOT 10i, 32Gb, Black (PR652B)",49990₸,Android,6.52,32 Гб,13 + AI,8,Infinix,,Черный
"Смартфон Samsung Galaxy Z Fold3 5G, 256Gb, Phantom Black (SM-F926B)",845900₸,Android,6.2,256 Гб,12 + 12 + 12,10,Samsung,Corning Gorilla Glass Victus,Черный
"Смартфон Samsung Galaxy Z Flip3 5G, 128Gb, Cream (SM-F711B)",516900₸,Android,6.7,128 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Бежевый, Черный"
"Смартфон Samsung Galaxy Z Flip3 5G, 256Gb, Cream (SM-F711B)",545100₸,Android,6.7,256 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Бежевый, Черный"
"Смартфон Samsung Galaxy Z Flip3 5G, 256Gb, Green (SM-F711B)",545100₸,Android,6.7,256 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Зеленый, Черный"
"Смартфон Infinix HOT 10T, 128Gb, Morandi Green (X689C)",77990₸,Android,6.82,128 Гб,48 + 2 + AI,8,Infinix,,"Зеленый, Черный"
"Смартфон Infinix HOT 10i, 32Gb, Mist Copper (PR652B)",49990₸,Android,6.52,32 Гб,13 + AI,8,Infinix,,"Золотистый, Черный"
"Смартфон Infinix HOT 10T, 128Gb, Purple (X689C)",77990₸,Android,6.82,128 Гб,48 + 2 + AI,8,Infinix,,"Фиолетовый, Черный"
"Смартфон Infinix HOT 10T, 128Gb, Blue (X689C)",77990₸,Android,6.82,128 Гб,48 + 2 + AI,8,Infinix,,"Голубой, Черный"
"Смартфон Infinix HOT 10i, 32Gb, Blue (PR652B)",49990₸,Android,6.52,32 Гб,13 + AI,8,Infinix,,"Синий, Черный"
"Смартфон Infinix HOT 10i, 32Gb, Morandi Green (PR652B)",49990₸,Android,6.52,32 Гб,13 + AI,8,Infinix,,"Зеленый, Черный"
"Смартфон Infinix Note 10, 128Gb, Black (X693)",91990₸,Android,6.95,128 Гб,48 + 2 + 2 + AI,16,Infinix,,Черный
"Смартфон Infinix Note 10, 128Gb, Purple (X693)",91990₸,Android,6.95,128 Гб,48 + 2 + 2 + AI,16,Infinix,,"Фиолетовый, Черный"
"Смартфон Infinix HOT 10T, 128Gb, Black (X689C)",77990₸,Android,6.82,128 Гб,48 + 2 + AI,8,Infinix,,Черный
"Смартфон Infinix HOT 10 Lite, 64Gb, Midnight Black (X657B)",57990₸,Android,6.6,64 Гб,13 + AI,8,Infinix,,Черный
"Смартфон Infinix HOT 10 Play, 64Gb, Obsidian Black (X688B)",63990₸,Android,6.82,64 Гб,13 + AI,8,Infinix,,Черный
"Смартфон Infinix HOT 10 Play, 64Gb, Purple (X688B)",63990₸,Android,6.82,64 Гб,13 + AI,8,Infinix,,"Фиолетовый, Черный"
"Смартфон Infinix HOT 10 Play, 64Gb, Morandi Green (X688B)",63990₸,Android,6.82,64 Гб,13 + AI,8,Infinix,,"Зеленый, Черный"
"Смартфон Infinix HOT 10 Lite, 32Gb, Midnight Black (X657B)",47990₸,Android,6.6,32 Гб,13 + AI,8,Infinix,,Черный
"Смартфон Infinix HOT 10 Play, 64Gb, Aegean Blue (X688B)",63990₸,Android,6.82,64 Гб,13 + AI,8,Infinix,,"Синий, Черный"
"Смартфон Xiaomi Mi 11 Lite 5G NE, 8Gb, 128Gb, Bubblegum Blue (2109119DG)",189990₸,Android,6.55,128 Гб,64 + 8 + 5,20,Xiaomi,Corning Gorilla Glass 5,"Синий, Черный"
"Смартфон Xiaomi Mi 11 Lite 5G NE, 8Gb, 256Gb, Truffle Black (2109119DG)",209990₸,Android,6.55,256 Гб,64 + 8 + 5,20,Xiaomi,Corning Gorilla Glass 5,Черный
"Смартфон Xiaomi Mi 11 Lite 5G NE, 6Gb, 128Gb, Truffle Black (2109119DG)",179990₸,Android,6.55,128 Гб,64 + 8 + 5,20,Xiaomi,Corning Gorilla Glass 5,Черный
"Смартфон Xiaomi Mi 11 Lite 5G NE, 8Gb, 128Gb, Truffle Black (2109119DG)",189990₸,Android,6.55,128 Гб,64 + 8 + 5,20,Xiaomi,Corning Gorilla Glass 5,Черный
"Смартфон Samsung Galaxy Z Flip3 5G, 128Gb, Phantom Black (SM-F711B)",516900₸,Android,6.7,128 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,Черный
"Смартфон Samsung Galaxy Z Fold3 5G, 512Gb, Phantom Silver (SM-F926B)",939900₸,Android,6.2,512 Гб,12 + 12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Серебристый, Черный"
"Смартфон Samsung Galaxy Z Flip3 5G, 128Gb, Lavender (SM-F711B)",516900₸,Android,6.7,128 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Фиолетовый, Черный"
"Смартфон Samsung Galaxy Z Fold3 5G, 512Gb, Phantom Black (SM-F926B)",939900₸,Android,6.2,512 Гб,12 + 12 + 12,10,Samsung,Corning Gorilla Glass Victus,Черный
"Смартфон Samsung Galaxy Z Flip3 5G, 256Gb, Lavender (SM-F711B)",545100₸,Android,6.7,256 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Фиолетовый, Черный"
"Смартфон Samsung Galaxy Z Fold3 5G, 256Gb, Phantom Silver (SM-F926B)",845900₸,Android,6.2,256 Гб,12 + 12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Серебристый, Черный"
"Смартфон Samsung Galaxy Z Fold3 5G, 256Gb, Phantom Black (SM-F926B)",845900₸,Android,6.2,256 Гб,12 + 12 + 12,10,Samsung,Corning Gorilla Glass Victus,Черный
"Смартфон Samsung Galaxy Z Flip3 5G, 128Gb, Cream (SM-F711B)",516900₸,Android,6.7,128 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Бежевый, Черный"
"Смартфон Samsung Galaxy Z Flip3 5G, 256Gb, Cream (SM-F711B)",545100₸,Android,6.7,256 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Бежевый, Черный"
"Смартфон Infinix HOT 10i, 32Gb, Black (PR652B)",49990₸,Android,6.52,32 Гб,13 + AI,8,Infinix,,Черный
"Смартфон Samsung Galaxy Z Flip3 5G, 256Gb, Green (SM-F711B)",545100₸,Android,6.7,256 Гб,12 + 12,10,Samsung,Corning Gorilla Glass Victus,"Зеленый, Черный"
"Смартфон Infinix HOT 10i, 32Gb, Blue (PR652B)",49990₸,Android,6.52,32 Гб,13 + AI,8,Infinix,,"Синий, Черный"
"Смартфон Infinix HOT 10T, 128Gb, Purple (X689C)",77990₸,Android,6.82,128 Гб,48 + 2 + AI,8,Infinix,,"Фиолетовый, Черный"
"Смартфон Infinix HOT 10i, 32Gb, Mist Copper (PR652B)",49990₸,Android,6.52,32 Гб,13 + AI,8,Infinix,,"Золотистый, Черный"
"Смартфон Infinix HOT 10T, 128Gb, Morandi Green (X689C)",77990₸,Android,6.82,128 Гб,48 + 2 + AI,8,Infinix,,"Зеленый, Черный"
"Смартфон Infinix HOT 10T, 128Gb, Blue (X689C)",77990₸,Android,6.82,128 Гб,48 + 2 + AI,8,Infinix,,"Голубой, Черный"
"Смартфон Infinix Note 10, 128Gb, Purple (X693)",91990₸,Android,6.95,128 Гб,48 + 2 + 2 + AI,16,Infinix,,"Фиолетовый, Черный"
"Смартфон Infinix HOT 10i, 32Gb, Morandi Green (PR652B)",49990₸,Android,6.52,32 Гб,13 + AI,8,Infinix,,"Зеленый, Черный"
"Смартфон Infinix HOT 10T, 128Gb, Black (X689C)",77990₸,Android,6.82,128 Гб,48 + 2 + AI,8,Infinix,,Черный
"Смартфон Infinix Note 10, 128Gb, Black (X693)",91990₸,Android,6.95,128 Гб,48 + 2 + 2 + AI,16,Infinix,,Черный
"Смартфон Infinix HOT 10 Lite, 64Gb, Midnight Black (X657B)",57990₸,Android,6.6,64 Гб,13 + AI,8,Infinix,,Черный
"Смартфон Infinix HOT 10 Play, 64Gb, Purple (X688B)",63990₸,Android,6.82,64 Гб,13 + AI,8,Infinix,,"Фиолетовый, Черный"
"Смартфон Infinix HOT 10 Play, 64Gb, Aegean Blue (X688B)",63990₸,Android,6.82,64 Гб,13 + AI,8,Infinix,,"Синий, Черный"
"Смартфон Infinix HOT 10 Lite, 32Gb, Midnight Black (X657B)",47990₸,Android,6.6,32 Гб,13 + AI,8,Infinix,,Черный
"Смартфон Infinix HOT 10 Play, 64Gb, Morandi Green (X688B)",63990₸,Android,6.82,64 Гб,13 + AI,8,Infinix,,"Зеленый, Черный"
"Смартфон Infinix HOT 10 Play, 64Gb, Obsidian Black (X688B)",63990₸,Android,6.82,64 Гб,13 + AI,8,Infinix,,Черный
"Смартфон Samsung Galaxy A03s, 64Gb, Black (SM-A037F)",73200₸,Android,6.5,64 Гб,13 + 2 + 2,5,Samsung,,Черный
"Смартфон Samsung Galaxy A03s, 32Gb, White (SM-A037F)",63800₸,Android,6.5,32 Гб,13 + 2 + 2,5,Samsung,,Белый
"Смартфон Samsung Galaxy A03s, 32Gb, Blue (SM-A037F)",63800₸,Android,6.5,32 Гб,13 + 2 + 2,5,Samsung,,"Голубой, Черный"
"Смартфон Samsung Galaxy A03s, 64Gb, Blue (SM-A037F)",73200₸,Android,6.5,64 Гб,13 + 2 + 2,5,Samsung,,"Голубой, Черный"
"Смартфон Xiaomi Redmi 10, 6Gb, 128Gb, Pebble White (21061119AG)",109990₸,Android,6.5,128 Гб,50 + 8 + 2 + 2,8,Xiaomi,Corning Gorilla Glass 3,Белый
"Смартфон Xiaomi Redmi 10, 4Gb, 64Gb, Pebble White (21061119AG)",79990₸,Android,6.5,64 Гб,50 + 8 + 2 + 2,8,Xiaomi,Corning Gorilla Glass 3,Белый
"Смартфон Xiaomi Redmi 10, 4Gb, 128b, Carbon Gray (21061119AG)",99990₸,Android,6.5,128 Гб,50 + 8 + 2 + 2,8,Xiaomi,Corning Gorilla Glass 3,"Серый, Черный"
"Смартфон Xiaomi Redmi 10, 4Gb, 64b, Carbon Gray (21061119AG)",79990₸,Android,6.5,64 Гб,50 + 8 + 2 + 2,8,Xiaomi,Corning Gorilla Glass 3,"Серый, Черный"
"Смартфон Xiaomi Redmi 10, 4Gb, 128Gb, Pebble White (21061119AG)",99990₸,Android,6.5,128 Гб,50 + 8 + 2 + 2,8,Xiaomi,Corning Gorilla Glass 3,Белый
"Смартфон Samsung Galaxy A03s, 32Gb, Black (SM-A037F)",63800₸,Android,6.5,32 Гб,13 + 2 + 2,5,Samsung,,Черный
"Смартфон Samsung Galaxy A72, 128Gb, Violet (SM-A725F)",182200₸,Android,6.7,128 Гб,64 + 12 + 8 + 5,32,Samsung,,"Фиолетовый, Черный"
"Смартфон Xiaomi Redmi 10, 4Gb, 64Gb, Sea Blue (21061119AG)",79990₸,Android,6.5,64 Гб,50 + 8 + 2 + 2,8,Xiaomi,Corning Gorilla Glass 3,"Белый, Голубой"
"Смартфон Samsung Galaxy A12, 64Gb, Blue (SM-A127F)",75100₸,Android,6.5,64 Гб,48 + 5 + 2 + 2,8,Samsung,,"Голубой, Черный"
"Смартфон Samsung Galaxy A12, 64Gb, Black (SM-A127F)",75100₸,Android,6.5,64 Гб,48 + 5 + 2 + 2,8,Samsung,,Черный
"Смартфон Samsung Galaxy A12, 64Gb, Red (SM-A127F)",79800₸,Android,6.5,64 Гб,48 + 5 + 2 + 2,8,Samsung,,"Красный, Черный"
"Смартфон Samsung Galaxy A22, 64Gb, Mint (SM-A225F)",89990₸,Android,6.4,64 Гб,48 + 8 + 2 + 2,13,Samsung,,"Зеленый, Черный"
"Смартфон Samsung Galaxy A12, 32Gb, Black (SM-A127F)",69990₸,Android,6.5,32 Гб,48 + 5 + 2 + 2,8,Samsung,,Черный
"Смартфон realme C21Y, 32Gb, Blue (RMX3261)",56300₸,Android,6.5,32 Гб,13 + 2 + 2,5,realme,,"Голубой, Черный"
"Смартфон Xiaomi Redmi 10, 4Gb, 128Gb, Sea Blue (21061119AG)",99990₸,Android,6.5,128 Гб,50 + 8 + 2 + 2,8,Xiaomi,Corning Gorilla Glass 3,"Белый, Голубой"
"Смартфон Samsung Galaxy A22, 128Gb, Mint (SM-A225F)",99500₸,Android,6.4,128 Гб,48 + 8 + 2 + 2,13,Samsung,,"Зеленый, Черный"
"Смартфон realme C21Y, 32Gb, Black (RMX3261)",56300₸,Android,6.5,32 Гб,13 + 2 + 2,5,realme,,Черный
"Смартфон Samsung Galaxy A22, 64Gb, White (SM-A225F)",89990₸,Android,6.4,64 Гб,48 + 8 + 2 + 2,13,Samsung,,Белый
"Смартфон realme C21Y, 64Gb, Blue (RMX3261)",69990₸,Android,6.5,64 Гб,13 + 2 + 2,5,realme,,"Голубой, Черный"
"Смартфон realme C21Y, 64Gb, Black (RMX3261)",69990₸,Android,6.5,64 Гб,13 + 2 + 2,5,realme,,Черный
"Смартфон Samsung Galaxy A12, 32Gb, Red (SM-A127F)",69990₸,Android,6.5,32 Гб,48 + 5 + 2 + 2,8,Samsung,,"Красный, Черный"
"Смартфон Samsung Galaxy A12, 32Gb, Blue (SM-A127F)",69990₸,Android,6.5,32 Гб,48 + 5 + 2 + 2,8,Samsung,,"Голубой, Черный"
"Смартфон Samsung Galaxy A72, 128Gb, White (SM-A725F)",183200₸,Android,6.7,128 Гб,64 + 12 + 8 + 5,32,Samsung,,"Белый, Черный"
"Смартфон Xiaomi Redmi 9C, 128Gb, Midnight Gray (M2006C3MG)",69990₸,Android,6.53,128 Гб,13 + 2 + 2,5,Xiaomi,,Черный
"Смартфон Samsung Galaxy A22, 128Gb, Black (SM-A225F)",99500₸,Android,6.4,128 Гб,48 + 8 + 2 + 2,13,Samsung,,Черный
"Смартфон Samsung Galaxy A22, 64Gb, Black (SM-A225F)",89990₸,Android,6.4,64 Гб,48 + 8 + 2 + 2,13,Samsung,,Черный
"Смартфон OnePlus Nord N100, 64Gb, Midnight Frost (BE2013)",69900₸,Android,6.52,64 Гб,13 + 2 + 2,8,OnePlus,Corning Gorilla Glass 3,"Серый, Черный"
"Смартфон Apple iPhone 12, 256Gb, White (MGJH3)",519900₸,iOS,6.1,256 Гб,12 + 12,12,Apple,,"Белый, Черный"
"Смартфон Apple iPhone 12, 256Gb, Purple (MJNQ3)",519900₸,iOS,6.1,256 Гб,12 + 12,12,Apple,,"Фиолетовый, Черный"
"Смартфон Apple iPhone 12, 256Gb, Black (MGJG3)",519900₸,iOS,6.1,256 Гб,12 + 12,12,Apple,,Черный
"Смартфон Apple iPhone 12, 64Gb, Purple (MJNM3)",434890₸,iOS,6.1,64 Гб,12 + 12,12,Apple,Ceramic Shield,"Фиолетовый, Черный"
"Смартфон Apple iPhone 12 Pro Max, 512Gb, Silver (MGDH3)",789990₸,iOS,6.7,512 Гб,12 + 12 + 12,12,Apple,,"Серебристый, Черный"
"Смартфон Poco F3, 128Gb, Night Black (M2012K11AG)",179990₸,Android,6.67,128 Гб,48 + 8 + 5,20,Poco,Corning Gorilla Glass 5,Черный
"Смартфон Apple iPhone 12 Pro, 512Gb, Gold (MGMW3)",714300₸,iOS,6.1,512 Гб,12 + 12 + 12,12,Apple,,"Золотистый, Черный"
"Смартфон Poco M3 Pro 5G, 128Gb, Power Black",109990₸,Android,6.5,128 Гб,48 + 2 + 2,8,Poco,Corning Gorilla Glass 3,Черный
"Смартфон Xiaomi Redmi Note 10 5G, 4Gb, 64Gb, Aurora Green (M2103K19G)",99990₸,Android,6.5,64 Гб,48 + 2 + 2,8,Xiaomi,,"Зеленый, Черный"
"Смартфон Poco F3, 256Gb, Arctic White",199990₸,Android,6.67,256 Гб,48 + 8 + 5,20,Poco,Corning Gorilla Glass 5,"Белый, Черный"
"Смартфон Xiaomi Mi 11 Lite 5G, 8Gb, 128Gb, Truffle Black (M2101K9G)",199990₸,Android,6.55,128 Гб,64 + 8 + 5,20,Xiaomi,Corning Gorilla Glass 6,Черный
"Смартфон Tecno Camon 16, 128Gb, Misty Grey (CE7j)",89990₸,Android,6.8,128 Гб,48 + 2 + 2 + AI,16,Tecno Mobile,,"Серый, Черный"
"Смартфон Tecno Pova, 128Gb, Speed Purple (LD7)",82000₸,Android,6.8,128 Гб,13 + 2 + 2 + AI,8,Tecno Mobile,,"Фиолетовый, Черный"
"Смартфон Tecno Pova, 128Gb, Magic Blue (LD7)",82000₸,Android,6.8,128 Гб,13 + 2 + 2 + AI,8,Tecno Mobile,,"Синий, Черный"
"Смартфон Tecno POP 4, 32Gb, Ice Lake Green (BC2c)",37200₸,Android,6.0,32 Гб,5,8,Tecno Mobile,,"Зеленый, Черный"
"Смартфон Apple iPhone SE (2020), 128Gb, Black (MHGT3)",254990₸,iOS,4.7,128 Гб,12,7,Apple,Стекло с олеофобным покрытием,Черный
"Смартфон Tecno POP 4, 32Gb, Dawn Blue (BC2c)",37200₸,Android,6.0,32 Гб,5,8,Tecno Mobile,,"Синий, Фиолетовый, Черный"
"Смартфон Tecno Pova, 128Gb, Dazzle Black (LD7)",82000₸,Android,6.8,128 Гб,13 + 2 + 2 + AI,8,Tecno Mobile,,"Красный, Черный"
"Смартфон Apple iPhone 12, 128Gb, Purple (MJNP3)",464890₸,iOS,6.1,128 Гб,12 + 12,12,Apple,,"Фиолетовый, Черный"
"Смартфон Apple iPhone 12 Pro, 128Gb, Silver (MGML3)",579990₸,iOS,6.1,128 Гб,12 + 12 + 12,12,Apple,,"Серебристый, Черный"
"Смартфон Apple iPhone 12 Pro Max, 512Gb, Graphite (MGDG3)",789990₸,iOS,6.7,512 Гб,12 + 12 + 12,12,Apple,,"Графитовый, Черный"
"Смартфон realme 8 Pro, 128Gb, Black (RMX3081)",149990₸,Android,6.4,128 Гб,108 + 8 + 2 + 2,16,realme,,Черный
"Смартфон Poco F3, 128Gb, Deep Ocean Blue",179990₸,Android,6.67,128 Гб,48 + 8 + 5,20,Poco,Corning Gorilla Glass 5,"Голубой, Черный"
"Смартфон Xiaomi Mi 11, 8Gb, 256Gb, Midnight Gray",399990₸,Android,6.81,256 Гб,108 + 13 + 5,20,Xiaomi,Corning Gorilla Glass Victus,Черный
"Смартфон Xiaomi Mi 11, 8Gb, 256Gb, Horizon Blue",399990₸,Android,6.81,256 Гб,108 + 13 + 5,20,Xiaomi,Corning Gorilla Glass Victus,"Голубой, Черный"
"Смартфон Poco M3 Pro 5G, 64Gb, Power Black",89990₸,Android,6.5,64 Гб,48 + 2 + 2,8,Poco,Corning Gorilla Glass 3,Черный
"Смартфон Apple iPhone 12 Pro Max, 512Gb, Pacific Blue (MGDL3)",789990₸,iOS,6.7,512 Гб,12 + 12 + 12,12,Apple,,"Синий, Черный"
"Смартфон Apple iPhone 12 Pro, 512Gb, Graphite (MGMU3)",739990₸,iOS,6.1,512 Гб,12 + 12 + 12,12,Apple,,"Графитовый, Черный"
"Смартфон Apple iPhone 12 Pro, 512Gb, Pacific Blue (MGMX3)",749900₸,iOS,6.1,512 Гб,12 + 12 + 12,12,Apple,,"Синий, Черный"
"Смартфон realme C25, 4Gb, 64Gb, Black (RMX3191)",79990₸,Android,6.5,64 Гб,48 + 2 + 2,8,realme,,Черный
"Смартфон realme C11 (2021), 2Gb/32Gb, Blue (RMX3231)",49990₸,Android,6.5,32 Гб,8,5,realme,,Голубой
"Смартфон OPPO Reno5 Lite, 128Gb, Black (CPH2205)",139990₸,Android,6.43,128 Гб,48 + 8 + 2 + 2,32,OPPO,,Черный
"Смартфон OPPO Reno5 Lite, 128Gb, Purple (CPH2205)",142490₸,Android,6.43,128 Гб,48 + 8 + 2 + 2,32,OPPO,,"Фиолетовый, Черный"
"Смартфон realme C11 (2021), 2Gb/32Gb, Gray (RMX3231)",49990₸,Android,6.5,32 Гб,8,5,realme,,Серый
"Смартфон OPPO A74, 128Gb, Blue (CPH2219)",119990₸,Android,6.43,128 Гб,48 + 2 + 2,16,OPPO,,Черный
"Смартфон OPPO A74, 128Gb, Black (CPH2219)",119990₸,Android,6.43,128 Гб,48 + 2 + 2,16,OPPO,,Черный
"Смартфон OPPO A15s, 64Gb, Blue (CPH2179)",68990₸,Android,6.52,64 Гб,13 + 2 + 2,8,OPPO,,"Синий, Черный"
"Смартфон OPPO A54, 64Gb, Black (CPH2239)",94900₸,Android,6.51,64 Гб,13 + 2 + 2,16,OPPO,,Черный
"Смартфон OPPO A54, 64Gb, Blue (CPH2239)",94900₸,Android,6.51,64 Гб,13 + 2 + 2,16,OPPO,,"Голубой, Синий, Черный"
"Смартфон OPPO A15s, 64Gb, Black (CPH2179)",64990₸,Android,6.52,64 Гб,13 + 2 + 2,8,OPPO,,Черный
"Смартфон Xiaomi Redmi Note 10S, 6Gb, 128Gb, Pebble White",119990₸,Android,6.43,128 Гб,64 + 8 + 2 + 2,13,Xiaomi,,"Серый, Черный"
"Смартфон Xiaomi Redmi Note 10S, 6Gb, 64Gb, Ocean Blue",109990₸,Android,6.43,64 Гб,64 + 8 + 2 + 2,13,Xiaomi,,"Белый, Голубой, Черный"
"Смартфон Xiaomi Redmi Note 10S, 6Gb, 128Gb, Ocean Blue",119990₸,Android,6.43,128 Гб,64 + 8 + 2 + 2,13,Xiaomi,,"Белый, Голубой, Черный"
"Смартфон Xiaomi Redmi Note 10S, 6Gb, 64Gb, Onyx Gray",109990₸,Android,6.43,64 Гб,64 + 8 + 2 + 2,13,Xiaomi,,"Серый, Черный"
"Смартфон Xiaomi Redmi Note 10S, 6Gb, 64Gb, Pebble White",109990₸,Android,6.43,64 Гб,64 + 8 + 2 + 2,13,Xiaomi,,"Серый, Черный"
"Смартфон Xiaomi Redmi Note 10S, 6Gb, 128Gb, Onyx Gray",119990₸,Android,6.43,128 Гб,64 + 8 + 2 + 2,13,Xiaomi,,"Серый, Черный"
"Смартфон Xiaomi Mi 11 Lite, 6Gb, 128Gb, Peach Pink (M2101K9AG)",149990₸,Android,6.55,128 Гб,64 + 8 + 5,16,Xiaomi,Corning Gorilla Glass 5,"Розовый, Черный"
"Смартфон Xiaomi Mi 11 Lite, 6Gb, 128Gb, Bubblegum Blue (M2101K9AG)",149990₸,Android,6.55,128 Гб,64 + 8 + 5,16,Xiaomi,Corning Gorilla Glass 5,"Голубой, Черный"
"Смартфон Apple iPhone Xr (2020), 128Gb, Red (MH7N3)",319500₸,iOS,6.1,128 Гб,12,7,Apple,Стекло с олеофобным покрытием,Красный
"Смартфон Apple iPhone Xr (2020), 128Gb, Black (MH7L3)",319500₸,iOS,6.1,128 Гб,12,7,Apple,Стекло с олеофобным покрытием,Черный
"Смартфон Apple iPhone Xr (2020), 128Gb, White (MH7M3)",319500₸,iOS,6.1,128 Гб,12,7,Apple,Стекло с олеофобным покрытием,Белый
